region,x,y,side,IW_Theta,IP_Theta,CW_Theta,CP_Theta,wavelength,intensity,integration_time
A,0.0,0.0,x,0,-45,-45,-45,627.6937865881773,2173.0,500000
A,0.0,0.0,x,0,-45,-45,-45,628.4618040164714,2154.0,500000
A,0.0,0.0,x,0,-45,-45,-45,629.2297491752543,2129.0,500000
A,0.0,0.0,x,0,-45,-45,-45,629.9976220645258,2130.0,500000
A,0.0,0.0,x,0,-45,-45,-45,630.765422684286,2108.0,500000
A,0.0,0.0,x,0,-45,-45,-45,631.533151034535,2098.0,500000
A,0.0,0.0,x,0,-45,-45,-45,632.3008071152726,2106.0,500000
A,0.0,0.0,x,0,-45,-45,-45,633.068390926499,2084.0,500000
A,0.0,0.0,x,0,-45,-45,-45,633.835902468214,2069.0,500000
A,0.0,0.0,x,0,-45,-45,-45,634.6033417404178,2067.0,500000
A,0.0,0.0,x,0,-45,-45,-45,635.3707087431103,2046.0,500000
A,0.0,0.0,x,0,-45,-45,-45,636.1380034762915,2042.0,500000
A,0.0,0.0,x,0,-45,-45,-45,636.9052259399614,2039.0,500000
A,0.0,0.0,x,0,-45,-45,-45,637.67237613412,2015.0,500000
A,0.0,0.0,x,0,-45,-45,-45,638.4394540587673,2016.0,500000
A,0.0,0.0,x,0,-45,-45,-45,639.2064597139033,2018.0,500000
A,0.0,0.0,x,0,-45,-45,-45,639.973393099528,2002.0,500000
A,0.0,0.0,x,0,-45,-45,-45,640.7402542156415,1988.0,500000
A,0.0,0.0,x,0,-45,-45,-45,641.5070430622436,1988.0,500000
A,0.0,0.0,x,0,-45,-45,-45,642.2737596393345,1964.0,500000
A,0.0,0.0,x,0,-45,-45,-45,643.040403946914,1979.0,500000
A,0.0,0.0,x,0,-45,-45,-45,643.8069759849823,1970.0,500000
A,0.0,0.0,x,0,-45,-45,-45,644.5734757535392,1956.0,500000
A,0.0,0.0,x,0,-45,-45,-45,645.3399032525849,1950.0,500000
A,0.0,0.0,x,0,-45,-45,-45,646.1062584821193,1933.0,500000
A,0.0,0.0,x,0,-45,-45,-45,646.8725414421424,1928.0,500000
A,0.0,0.0,x,0,-45,-45,-45,647.6387521326542,1918.0,500000
A,0.0,0.0,x,0,-45,-45,-45,648.4048905536547,1918.0,500000
A,0.0,0.0,x,0,-45,-45,-45,649.1709567051439,1919.0,500000
A,0.0,0.0,x,0,-45,-45,-45,649.9369505871218,1906.0,500000
A,0.0,0.0,x,0,-45,-45,-45,650.7028721995885,1893.0,500000
A,0.0,0.0,x,0,-45,-45,-45,651.4687215425438,1890.0,500000
A,0.0,0.0,x,0,-45,-45,-45,652.2344986159878,1885.0,500000
A,0.0,0.0,x,0,-45,-45,-45,653.0002034199206,1870.0,500000
A,0.0,0.0,x,0,-45,-45,-45,653.765835954342,1858.0,500000
